City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
35,Atuona,PF,78.39,few clouds,-9.8,-139.0333,Villa Enata
36,Havre-Saint-Pierre,CA,53.96,broken clouds,50.2334,-63.5986,Auberge Niapiskau
37,Touros,BR,70.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
38,Eureka,US,63.63,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
39,Inta,RU,50.79,overcast clouds,66.0317,60.1659,Apartments in Inta city
40,North Bend,US,64.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
41,Luganville,VU,76.21,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
42,Hovd,MN,68.97,broken clouds,48.0056,91.6419,Hotel Khovd
44,Port Macquarie,AU,57.16,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
45,Santa Isabel Do Rio Negro,BR,72.16,overcast clouds,-0.4139,-65.0192,Hotel GSA
46,Kaeo,NZ,54.32,light rain,-35.1,173.7833,Bushido Lodge
